REGISTERED JURISDICTIONS — high-level overview (generated 2026-09-10)
120 jurisdictions registered  |  Population figures: Statistics Canada 2021 Census

=== FEDERAL ===
Jurisdiction,Level,Districts/Wards,District Type,Population (2021 Census),Governance,Last Election,Next Election
Municipality of the County of Colchester,Municipal,11,Councillors,,Ward / district-based,2024-10-19,TBD
Municipality of the County of Cumberland,Municipal,8,Councillors,,Ward / district-based,2024-10-19,TBD
Municipality of the County of Kings,Municipal,9,Councillors,,Ward / district-based,2024-10-19,TBD
Municipality of the County of Pictou,Municipal,12,Councillors,,Ward / district-based,2024-10-19,TBD
West Hants Regional Municipality,Municipal,11,Councillors,,Ward / district-based,2024-10-19,TBD

-- Ontario (30 municipalities) --
Jurisdiction,Level,Districts/Wards,District Type,Population (2021 Census),Governance,Last Election,Next Election
Ajax,Municipal,3,Councillors,126666,Ward / district-based,2022-10-24,2026-10-26
Barrie,Municipal,10,Councillors,147829,Ward / district-based,2022-10-24,2026-10-26
Brampton,Municipal,10,Councillors,656480,Ward / district-based,2022-10-24,2026-10-26
Brantford,Municipal,5,Councillors,104688,Ward / district-based,2022-10-24,2026-10-26
Burlington,Municipal,6,Councillors,186948,Ward / district-based,2022-10-24,2026-10-26
Cambridge,Municipal,8,Councillors,138479,Ward / district-based,2022-10-24,2026-10-26
Chatham-Kent,Municipal,6,Councillors,103988,Ward / district-based,2022-10-24,2026-10-26
County of Brant,Municipal,5,Councillors,39474,Ward / district-based,2022-10-24,2026-10-26
Greater Sudbury,Municipal,12,Councillors,166004,Ward / district-based,2022-10-24,2026-10-26
Guelph,Municipal,6,Councillors,143740,Ward / district-based,2022-10-24,2026-10-26
Hamilton,Municipal,15,Councillors,569353,Ward / district-based,2022-10-24,2026-10-26
Kingston,Municipal,12,Councillors,132485,Ward / district-based,2022-10-24,2026-10-26
Kitchener,Municipal,10,Councillors,256885,Ward / district-based,2022-10-24,2026-10-26
London,Municipal,14,Councillors,422324,Ward / district-based,2022-10-24,2026-10-26
Markham,Municipal,8,Councillors,338503,Ward / district-based,2022-10-24,2026-10-26
Milton,Municipal,4,Councillors,132979,Ward / district-based,2022-10-24,2026-10-26
Mississauga,Municipal,11,Councillors,717961,Ward / district-based,2022-10-24,2026-10-26
Norfolk County,Municipal,7,Councillors,67490,Ward / district-based,2022-10-26,2026-10-26
Oakville,Municipal,7,Councillors,213759,Ward / district-based,2022-10-24,2026-10-26
Oshawa,Municipal,5,Councillors,175383,Ward / district-based,2022-10-24,2026-10-26
Ottawa,Municipal,24,Councillors,1017449,Ward / district-based,2022-10-24,2026-10-26
Peterborough,Municipal,5,Councillors,83651,Ward / district-based,2022-10-24,2026-10-26
Richmond Hill,Municipal,6,Councillors,202022,Ward / district-based,2022-10-24,2026-10-26
St. Catharines,Municipal,6,Councillors,136803,Ward / district-based,2022-10-24,2026-10-26
Thunder Bay,Municipal,7,Councillors,108843,Ward / district-based,2022-10-24,2026-10-26
Toronto,Municipal,25,Councillors,2794356,Ward / district-based,2022-10-24,2026-10-26
Vaughan,Municipal,5,Councillors,323103,Ward / district-based,2022-10-24,2026-10-26
Waterloo,Municipal,7,Councillors,121436,Ward / district-based,2022-10-24,2026-10-26
Whitby,Municipal,4,Councillors,138501,Ward / district-based,2022-10-24,2026-10-26
Windsor,Municipal,10,Councillors,229660,Ward / district-based,2022-10-24,2026-10-26

-- Prince Edward Island (1 municipalities) --
Jurisdiction,Level,Districts/Wards,District Type,Population (2021 Census),Governance,Last Election,Next Election
Cornwall,Municipal,1,Councillors,,At-large,2022-11-07,2026-11-02

-- Quebec (9 municipalities) --
Jurisdiction,Level,Districts/Wards,District Type,Population (2021 Census),Governance,Last Election,Next Election
Gatineau,Municipal,19,Conseillers,,Ward / district-based,2025-11-02,2029-11-04
Laval,Municipal,22,Conseillers,,Ward / district-based,2025-11-02,2029-11-04
Longueuil,Municipal,18,Conseillers,,Ward / district-based,2025-11-02,2029-11-04
Montréal,Municipal,58,Conseillers,,Ward / district-based,2025-11-02,2029-11-04
Québec City,Municipal,21,Councillors,549459,Ward / district-based,2025-11-02,TBD
Repentigny,Municipal,12,Conseillers,,Ward / district-based,2025-11-02,2029-11-04
Saint-Jean-sur-Richelieu,Municipal,12,Conseillers,,Ward / district-based,2025-11-02,2029-11-04
Sherbrooke,Municipal,16,Conseillers,,Ward / district-based,2025-11-02,2029-11-04
Trois-Rivières,Municipal,14,Conseillers,,Ward / district-based,2025-11-02,2029-11-04

-- Saskatchewan (10 municipalities) --
Jurisdiction,Level,Districts/Wards,District Type,Population (2021 Census),Governance,Last Election,Next Election
Lloydminster,Municipal,1,Councillors,,At-large,2024-11-13,2028-11-08
Moose Jaw,Municipal,1,Councillors,,At-large,2024-11-13,2028-11-08
North Battleford,Municipal,1,Councillors,,At-large,2024-11-13,2028-11-08
Prince Albert,Municipal,8,Councillors,,Ward / district-based,2024-11-13,2028-11-08
Regina,Municipal,10,Councillors,226404,Ward / district-based,2024-11-13,TBD
Saskatoon,Municipal,10,Councillors,,Ward / district-based,2024-11-13,2028-11-08
Swift Current,Municipal,1,Councillors,,At-large,2024-11-13,2028-11-08
Warman,Municipal,1,Councillors,,At-large,2024-11-13,2028-11-08
Weyburn,Municipal,1,Councillors,,At-large,2024-11-13,2028-11-08
Yorkton,Municipal,1,Councillors,,At-large,2024-11-13,2028-11-08
